city,zip,county
Rosamond,93560,Kern
Oak Hills,92344,San Bernardino
Wildomar,92595,Riverside
La Jolla,92037,San Diego
San Marcos,92078,San Diego
Redlands,92373,San Bernardino
Lake Forest,92630,Orange
Hermosa Beach,90254,Los Angeles
Los Angeles,90402,Los Angeles
Fountain Valley,92708,Orange
Pasadena,91103,Los Angeles
San Mateo,94401,San Mateo
Orange,92865,Orange
Tustin,92780,Orange
San Jose,95124,Santa Clara
Malibu,90265,Los Angeles
Los Angeles,90002,Los Angeles
Valley Village,91607,Los Angeles
Winnetka,91306,Los Angeles
Lakeport,95453,Lake
Palm Desert,92211,Riverside
Irvine,92620,Orange
Newport Beach,92660,Orange
Atascadero,93422,San Luis Obispo
Los Angeles,90020,Los Angeles
Los Angeles,90028,Los Angeles
Los Angeles,90005,Los Angeles
Rancho Mirage,92270,Riverside
Encino,91316,Los Angeles
Northridge,91324,Los Angeles
Morgan Hill,95037,Santa Clara
Saugus,91390,Los Angeles
Stanton,90680,Orange
Santa Cruz,95062,Santa Cruz
Carmel Valley,92130,San Diego
Costa Mesa,92626,Orange
Poway,92064,San Diego
Santa Ana,92707,Orange
Palm Springs,92264,Riverside
Los Angeles,90066,Los Angeles
Temple City,91780,Los Angeles
San Diego,92111,San Diego
Danville,94526,Contra Costa
West Hollywood,90069,Los Angeles
Sherman Oaks,91403,Los Angeles
Paso Robles,93446,San Luis Obispo
North Hollywood,91601,Los Angeles
La Canada Flintridge,91011,Los Angeles
San Jose,95120,Santa Clara
San Francisco,94110,San Francisco
Campbell,95008,Santa Clara
Los Angeles,90064,Los Angeles
Tujunga,91042,Los Angeles
Los Angeles,90041,Los Angeles
Toluca Lake,91602,Los Angeles
Beverly Hills,90211,Los Angeles
Los Angeles,90016,Los Angeles
Irvine,92614,Orange
Rancho Cucamonga,91701,San Bernardino
Palm Springs,92262,Riverside
Redwood City,94062,San Mateo
Los Angeles,90032,Los Angeles
Orange,92867,Orange
Glendale,91205,Los Angeles
Vista,92084,San Diego
Santa Monica,90403,Los Angeles
San Diego,92117,San Diego
Chula Vista,91911,San Diego
Redondo Beach,90277,Los Angeles
Yucaipa,92399,San Bernardino
Los Angeles,90004,Los Angeles
San Diego,92116,San Diego
West Hills,91304,Los Angeles
Laguna Beach,92651,Orange
Orange,92869,Orange
Canyon Country,91351,Los Angeles
Ramona,92065,San Diego
Torrance,90505,Los Angeles
Paradise,95969,Butte
Irvine,92603,Orange
Culver City,90232,Los Angeles
Long Beach,90803,Los Angeles
Baldwin Park,91706,Los Angeles
Santa Clara,95051,Santa Clara
Santa Maria,93454,Santa Barbara
Loma Linda,92354,San Bernardino
Burbank,91505,Los Angeles
Los Angeles,90042,Los Angeles
Chula Vista,91914,San Diego
Vallejo,94590,Solano
Reseda,91335,Los Angeles
